author_name,affiliation,city,country,publication_date,title,latitude,longitude,cluster
Rogozhnikov D.,York University,Toronto,Canada,2016-12-23,Scaffold Free Bio-orthogonal Assembly of 3-Dimensional Cardiac Tissue via Cell Surface Engineering,43.6534817,-79.3839347,0
Kim J.,Wake Forest University School of Medicine,Winston Salem,United States,2016-12-01,Three-dimensional cell-based bioprinting for soft tissue regeneration,36.0998131,-80.2440518,0
Naconsie M.,CAS Center for Excellence in Molecular Plant Sciences / Institute of Plant Physiology and Ecology,Shanghai,China,2016-12-01,Transgenic technologies in cassava for nutritional improvement and viral disease resistance: A key strategy for food security in Africa,31.2312707,121.4700152,1
Kumar N.,University of Memphis,Memphis,United States,2016-12-01,Most likely Voronoi diagrams in higher dimensions,35.1460249,-90.0517638,0
Brozek-Pluska B.,Lodz University of Technology,Lodz,Poland,2016-12-28,Development of a new diagnostic Raman method for monitoring epigenetic modifications in the cancer cells of human breast tissue,51.7728245,19.478485931307937,2
Kovalev I.A.,"A.A.Baikov Institute of Metallurgy and Materials Science, Russian Academy of Sciences",Moscow,Russian Federation,2016-12-01,High-temperature titanium nitridation kinetics,55.625578,37.6063916,2
Kumar A.,Indian Institute of Technology Delhi,New Delhi,India,2016-12-01,Capacitated k-center problem with vertex weights,28.64308585,77.21926705734865,3
Wang P.,Beijing University of Posts and Telecommunications,Beijing,China,2016-12-30,The analysis and design of the job recommendation model based on GBRT and time factors,40.190632,116.412144,1
Sabatini R.,RMIT University,Melbourne,Australia,2016-12-07,Trajectory optimisation for avionics-based GNSS integrity augmentation system,-37.8142454,144.9631732,4
Zhang X.,Yangtze University,Jingzhou,China,2016-12-01,Identification of pore types and study of poroperm relationships based on logging data in puguang carbonate reservoir,30.3375612,112.2337264,1
Qu M.,Southwest Jiaotong University,Chengdu,China,2016-12-01,Model test of stone columns as liquefaction countermeasure in sandy soils,30.6598628,104.0633717,1
Zhang C.,Harbin Institute of Technology,Harbin,China,2016-12-01,High stability attitude control for flexible satellite based on frequency-domain analysis,45.7593633,126.6276177,1
dos Santos Neto P.d.A.,Universidade Federal do Piauí,Teresina,Brazil,2016-12-01,A hybrid approach to suggest software product line portfolios,-5.0874608,-42.8049571,23
Hauer C.,BOKU University,Vienna,Austria,2016-12-01,Ecological importance of sediments and morphological structures for small hydropower plants,48.2083537,16.3725042,2
Jain P.,Amity University,Noida,India,2016-12-15,ISM based identification of quality attributes for agile development,28.5706333,77.3272147,3
Fung T.,"U.S. Army Research, Development and Engineering Command",Aberdeen,United States,2016-12-22,Distributed SATCOM On-The-Move (SOTM) Terminal Open Standard Architecture,45.4649805,-98.487813,0
Ge Y.,Anhui Polytechnic University,Wuhu,China,2016-12-16,Fault location in distributed information systems,31.1800568,118.2141777,1
Santisi d'Avila M.P.,Laboratoire de Mathématiques J.A. Dieudonné,Nice,France,2016-12-01,Localization of deformation and loss of macroscopic ellipticity in microstructured solids,43.7009358,7.2683912,2
Nilsson K.F.,European Commission Joint Research Centre,Brussels,Belgium,2016-12-01,Assessment of thermal fatigue life for 316L and P91 pipe components at elevated temperatures,50.8465573,4.351697,2
Taghizadeh Naderi P.,Shahid Beheshti University,Tehran,Iran,2016-12-29,Quality of claim metrics in social sensing systems: A case study on IranDeal,35.6892523,51.3896004,2
Martínez-García E.,CSIC - Centro Nacional de Biotecnologia (CNB),Madrid,Spain,2016-12-01,The quest for the minimal bacterial genome,40.4167047,-3.7035825,2
Lee J.H.,Kookmin University,Seoul,South Korea,2016-12-01,Design and verification of the hardware architecture for the active seat belt control system compliant to ISO 26262,37.5666791,126.9782914,1
Ramasamy S.,RMIT University,Melbourne,Australia,2016-12-07,A unified approach to separation assurance and collision avoidance for flight management systems,-37.8142454,144.9631732,4
Cho H.,Chosun University,Gwangju,South Korea,2016-12-01,Molecular modeling and redesign of alginate lyase from Pseudomonas aeruginosa for accelerating CRPA biofilm degradation,35.1594647,126.8515034,1
Liu Z.,Southwest Jiaotong University,Chengdu,China,2016-12-25,A dynamic meso-constitutive model of frozen soil based on ice particulate-reinforced material,30.6598628,104.0633717,1
Kim J.J.,Auckland Bioengineering Institute,Auckland,New Zealand,2016-12-01,Applying Physiologically Relevant Strains to Tenocytes in an in Vitro Cell Device Induces in Vivo Like Behaviors,-36.852095,174.7631803,5
Sousa M.L.,Faculdade de Ciências e Tecnologia da Universidade Nova de Lisboa,Caparica,Portugal,2016-12-01,Roads for the 1940 Portuguese nationality commemorations: Modernising by excess in a context of scarcity,38.65374105,-9.208963679535769,2
Sabor N.,Faculty of Engineering,Asyut,Egypt,2016-12-01,A Graphical-based educational simulation tool for Wireless Sensor Networks,27.1832822,31.1853836,2
Pogrzeba T.,Technische Universität Berlin,Berlin,Germany,2016-12-21,Catalytic reactions in aqueous surfactant-free multiphase emulsions,52.510885,13.3989367,2
Schneider T.,Università della Svizzera italiana,Lugano,Switzerland,2016-12-09,CuboidMatrix: Exploring dynamic structural connections in software components using space-time cube,46.0050102,8.9520281,2
Gau R.,National Chiao Tung University,Hsinchu,Taiwan,2016-12-21,Optimizing the service capacity of SDN-based cellular networks with service chaining and NFV,24.8066333,120.9686833,1
Ahmadi R.,Universiti Malaysia Sarawak,Kota Samarahan,Malaysia,2016-12-12,"Production and Characterisation of Microfine Sized Palm Oil Fuel Ash (POFA) Originated from Bau, Lundu Palm Oil Mill",1.4596157,110.4954562,-1
Shuvalov G.,FSUE 'Siberian State Order of the Red Banner of Labour Research Institute of Metrology',Unknown,Russian Federation,2016-12-29,Investigation of influence of some factors on accuracy of determining the flashpoint of oil products,50.7958628,85.3259741,6
Tao L.,Xi'an University of Technology,Xi'an,China,2016-12-15,Seismic response analysis for a cooling tower structure considering soil-structure dynamic interaction,34.261004,108.9423363,1
Harris C.A.,National Oceanography Centre Southampton,Southampton,United Kingdom,2016-12-08,Risk and reliability modelling for multi-vehicle marine domains,50.9025349,-1.404189,2
Villalobos-Castaldi F.M.,Universidad Nacional Autónoma de México,Mexico,Mexico,2016-12-22,Pupillometric-based analysis of central autonomic levels using HHT,19.4326296,-99.1331785,7
Yin H.,Xiamen University of Technology,Xiamen,China,2016-12-30,Modified firefly algorithm and its engineering applications,24.5438732,118.0768065,1
Velkoborsky J.,Charles University,Prague,Czech Republic,2016-12-29,Scaffold analysis of PubChem database as background for hierarchical scaffold-based visualization,50.0874654,14.4212535,2
Zhou Y.,NUS Graduate School,Singapore City,Singapore,2016-12-29,Metal-Hydroxide and Gold-Nanocluster Interfaces: Enhancing Catalyst Activity and Stability for Oxygen Evolution Reaction,1.2899175,103.8519072,8
Chen Y.Y.,Fujian Provincial Hospital,Fuzhou,China,2016-12-16,Dental pulp stem cells express tendon markers under mechanical loading and are a potential cell source for tissue engineering of tendon-like tissue,26.0774954,119.2918215,1
Gould R.,Cornell University College of Engineering,Ithaca,United States,2016-12-01,Population Heterogeneity in the Epithelial to Mesenchymal Transition Is Controlled by NFAT and Phosphorylated Sp1,42.4374175,-76.54837235139263,0
Ozawa H.,Institute of Science Tokyo,Tokyo,Japan,2016-12-15,High-pressure melting experiments on Fe–Si alloys and implications for silicon as a light element in the core,35.6768601,139.7638947,1
Kasim S.,Universiti Tun Hussein Onn Malaysia,Batu Pahat,Malaysia,2016-12-07,CMIS: Crime Map Information System for Safety Environment,1.933333,103.0,8
Orlov S.,Transport and telecommunication institute,Riga,Latvia,2016-12-01,Decision Making for the Software Architecture Structure Based on the Criteria Importance Theory,56.9493977,24.1051846,2
Rieder E.,Medizinische Universität Wien,Vienna,Austria,2016-12-01,Human immune-cell response towards diverse xenogeneic and allogeneic decellularized biomaterials,48.2083537,16.3725042,2
Adjepon-Yamoah D.E.,Newcastle University,Newcastle,United Kingdom,2016-12-09,Assuring Dependable Cloud-Based System Engineering: A Cloud Accountability Method,54.9738474,-1.6131572,2
Gentry C.M.,College of Engineering and Applied Science,Boulder,United States,2016-12-16,Tailoring of individual photon lifetimes as a degree of freedom in resonant quantum photonic sources,40.0149856,-105.270545,0
Budaciu C.,Universitatea Tehnica Gh. Asachi din IasI,Iasi,Romania,2016-12-16,Dynamic analysis in discrete time delta domain for unstable bicycle system,47.1615598,27.5837814,2
Liu S.,National Technical University of Athens (NTUA),Athens,Greece,2016-12-01,Improved formula for estimating added resistance of ships in engineering applications,37.9755648,23.7348324,2
Goulart L.R.,UC Davis School of Medicine,Sacramento,United States,2016-12-01,Unraveling antibody display: Systems biology and personalized medicine,38.5810606,-121.493895,0
Gu Q.,Dalian University of Technology,Dalian,China,2016-12-01,Experimental study on the wave loads of twin-plate breakwater under oblique waves,39.740278,122.255833,1
Jamilus M.H.,KLIA Premier Holdings SDN. Bhd.,Unknown,Malaysia,2016-12-07,"""Doing the Wrong Things Right"" Site Investigations in Soft Soil",6.11707015,102.274695678125,8
Harrati N.,Université Mohamed-Chérif Messaadia Souk Ahras,Souk Ahras,Algeria,2016-12-28,Evaluation methods for e-learning applications in terms of user satisfaction and interface usability,36.1378681,7.826242640053763,2
Liu T.,Xiangtan University,Xiangtan,China,2016-12-01,The boosted lipid accumulation in microalga Chlorella vulgaris by a heterotrophy and nutrition-limitation transition cultivation regime,27.681864,112.626292,1
Cuenca J.,Mondragon Unibertsitatea,Mondragon,Spain,2016-12-21,A software engineering process to develop services within the Arrowhead project,43.0656783,-2.4900779,2
Caldeira K.,Carnegie Institution of Washington,"Washington, D.C.",United States,2016-12-08,ERL and the impact of small groups of authors,38.8950368,-77.0365427,0
Jalayer M.,Rutgers University–New Brunswick,New Brunswick,United States,2016-12-01,A multiple correspondence analysis of at-fault motorcycle-involved crashes in Alabama,40.4862174,-74.4518173,0
Berestov A.V.,National Research Nuclear University MEPhI,Moscow,Russian Federation,2016-12-29,Development of laboratory facilities for analogue electronics as part of CDIO standards implementation in the research university,55.625578,37.6063916,2
Dombrowski C.,Rheinisch-Westfälische Technische Hochschule Aachen,Aachen,Germany,2016-12-21,Model-checking assisted protocol design for ultra-reliable low-latency wireless networks,50.776351,6.083862,2
Tickoo A.,Amity University,Noida,India,2016-12-01,Modeling Two-Dimensional Framework for Multi-Upgradations of a Software with Change Point,28.5706333,77.3272147,3
Hussein L.,International Islamic University Malaysia,Kuala Lumpur,Malaysia,2016-12-29,Performance Comparison of (Diff-FH NEMO) Scheme in IPv6-Based Network Mobility,3.1516964,101.6942371,8
Qian J.,Cold and Arid Regions Environmental and Engineering Research Institute Chinese Academy of Sciences,Lanzhou,China,2016-12-01,Analysis of asymmetric temperature fields for the duct-ventilated embankment of highway in permafrost regions,36.474436,103.733224,1
Halaweh M.,"Al Falah University, Dubai",Dubai,United Arab Emirates,2016-12-30,Reflection on the application of the DFSG method,25.2653471,55.2924914,2
Qiu Z.Y.,Information Engineering University China,Zhengzhou,China,2016-12-01,Blind carrier synchronization algorithm based on statistical constellation,34.7533392,113.6599983,1
Haseidl F.,Technische Universität München,Munich,Germany,2016-12-01,Single-Phase Flow Residence-Time Distributions in a Rotor-Stator Spinning Disc Reactor,48.1371079,11.5753822,2
Baneres D.,Universitat Oberta de Catalunya,Barcelona,Spain,2016-12-19,Intelligent Tutoring System for Learning Digital Systems on MOOC Environments,41.3828939,2.1774322,2
Villar M.V.,"Centro de Investigaciones Energéticas, Medioambientales y Tecnológicas",Madrid,Spain,2016-12-01,Saturation of barrier materials under thermal gradient,40.4167047,-3.7035825,2
Zhang K.,Yonsei University,Seoul,South Korea,2016-12-30,Designed seamless outer surface: Application for high voltage LiNi<inf>0.5</inf>Mn<inf>1.5</inf>O<inf>4</inf> cathode with excellent cycling stability,37.5666791,126.9782914,1
Kagale S.,Agriculture and Agri-Food Canada,Ottawa,Canada,2016-12-01,The developmental transcriptome atlas of the biofuel crop Camelina sativa,45.4208777,-75.6901106,0
Scandura P.,Università degli Studi di Catania,Catania,Italy,2016-12-10,A numerical investigation of acceleration-skewed oscillatory flows,37.5023612,15.0873718,2
Liu Q.,Soochow University,Suzhou,China,2016-12-21,Synthesis of lipo-glycopolymers for cell surface engineering,31.311123,120.6212881,1
Ehsani A.,Ferdowsi University of Mashhad,Mashhad,Iran,2016-12-01,Stacking sequence optimization of laminated composite grid plates for maximum buckling load using genetic algorithm,36.2974945,59.6059232,2
Baharuddin I.N.Z.,Universiti Tenaga Nasional,Kajang,Malaysia,2016-12-07,Determination of Slope Instability Using Spatially Integrated Mapping Framework,2.9948437,101.7896595,8
Wang M.,Henan Agricultural University,Zhengzhou,China,2016-12-02,Impairment of sulfite reductase decreases oxidative stress tolerance in Arabidopsis thaliana,34.7533392,113.6599983,1
Azarov A.,Universitetet i Oslo,Oslo,Norway,2016-12-07,Combined ion implantation for defect engineering in GaN and ZnO,59.9133301,10.7389701,2
Rana T.R.,Incheon National University,Incheon,South Korea,2016-12-01,Phase engineering of CBD grown tin sulfide films by post-sulfurization and solar cell application,37.456,126.7052,1
Xiang J.,Wuhan University,Wuhan,China,2016-12-01,Successful Strategies to Determine High-Resolution Structures of GPCRs,30.5951051,114.2999353,1
Holling D.,Technische Universität München,Munich,Germany,2016-12-05,Failure Models for Testing Continuous Controllers,48.1371079,11.5753822,2
Liu Y.,North University of China,Taiyuan,China,2016-12-01,A study on calibration-compensation method for accelerometer,37.870009,112.5452739,1
Ren L.,School of Engineering and Built Environment,Southport,Australia,2016-12-01,Evaluation of roundabout capacity models: An empirical case study,-27.9687807,153.4066696,4
Haramaki T.,Oita University,Oita,Japan,2016-12-16,An Engineering Education Support System Using Projection-Based AR,33.2393864,131.6096524,1
Bouckovalas G.D.,National Technical University of Athens (NTUA),Athens,Greece,2016-12-01,Ground response at liquefied sites: seismic isolation or amplification?,37.9755648,23.7348324,2
Liu P.,State Key Laboratory of Industrial Control Technology,Hangzhou,China,2016-12-01,A novel fast dynamic optimization approach for complex multivariable chemical process systems,30.2489634,120.2052342,1
Liu X.,University of Science and Technology of China,Hefei,China,2016-12-09,Highway Vehicle Counting in Compressed Domain,31.8665676,117.281428,1
Sánchez M.,College of Engineering,College Station,United States,2016-12-01,Fully coupled thermo-hydro-mechanical double-porosity formulation for unsaturated soils,30.6183939,-96.3455991,0
Quicken S.,Universiteit Maastricht,Maastricht,Netherlands,2016-12-01,Application of an Adaptive Polynomial Chaos Expansion on Computationally Expensive Three-Dimensional Cardiovascular Models for Uncertainty Quantification and Sensitivity Analysis,50.8512438,5.6909768,2
Dobler R.,Universidade Federal do Rio Grande do Sul,Porto Alegre,Brazil,2016-12-12,A software fault injector to validate implementations of a safety communication protocol,-30.0324999,-51.2303767,9
Trapp J.,Queensland University of Technology,Brisbane,Australia,2016-12-01,"Web of Science, Scopus, and Google Scholar citation rates: a case study of medical physics and biomedical engineering: what gets cited and what doesn’t?",-27.4689682,153.0234991,4
Gao P.,Xi'an Jiaotong University,Xi'an,China,2016-12-10,Radiometric calibration of tempospatially modulated polarization interference imaging spectrometer,34.261004,108.9423363,1
Kanda H.,University of Hyogo,Kobe,Japan,2016-12-14,Interface Optoelectronics Engineering for Mechanically Stacked Tandem Solar Cells Based on Perovskite and Silicon,34.6932379,135.1943764,1
Endo A.,"Institute of Agrobiological Sciences, NARO",Tsukuba,Japan,2016-12-01,Efficient targeted mutagenesis of rice and tobacco genomes using Cpf1 from Francisella novicida,36.0833265,140.077279,1
Su M.T.,Universiti Malaya,Kuala Lumpur,Malaysia,2016-12-01,Usage-based chunking of Software Architecture information to assist information finding,3.1516964,101.6942371,8
Sharifironizi M.,College of Engineering,Notre Dame,United States,2016-12-30,"Thermodynamic studies of zippeite, a uranyl sulfate common in mine wastes",41.70456775,-86.23822026017265,0
Zhang Y.,Changsha University of Science and Technology,Changsha,China,2016-12-01,Reasonable construction procedure and method of the cast-in-place RC arch rib with arch centering,28.1450774,113.2384362,1
Borgolov A.V.,"National Research Centre ""Kurchatov Institute""",Moscow,Russian Federation,2016-12-01,Mathematical modeling of triglyceride transesterification through enzymatic catalysis in a continuous flow bioreactor,55.625578,37.6063916,2
Rienzo A.,Universidad de Valparaiso,Valparaiso,Chile,2016-12-08,Analysis and repository of services telemedicine in Chile (2014-2015),-32.5976089,-70.8529753,10
Winoto P.,Wenzhou-Kean University,Wenzhou,China,2016-12-30,The development of a Kinect-based online socio-meter for users with social and communication skill impairments: A computational sensing approach,27.9963899,120.695345,1
Su H.,Chongqing Institute of Green and Intelligent Technology,Chongqing,China,2016-12-20,Metabolic engineering of Corynebacterium crenatium for enhancing production of higher alcohols,30.05518,107.8748712,1
Hui H.,China Electric Power Research Institute,Beijing,China,2016-12-09,Identification of active distribution network island based on graph theory,40.190632,116.412144,1
Balkrishan D.,Indian Institute of Technology Bombay,Mumbai,India,2016-12-07,Making and breaking the user-usage model: Whatsapp adoption amongst emergent users in India,19.08157715,72.88662753964906,3
Quintana J.,Instituto de Investigaciones Electricas,Cuernavaca,Mexico,2016-12-09,Sag-tension calculation program for power substations,18.93313205,-99.25995794657074,7
Fangrat J.,Institut Techniki Budowlanej Warsaw,Warsaw,Poland,2016-12-01,Combustability of building products versus fire safety,52.2319581,21.0067249,2
Kuo J.Y.,National Taipei University of Technology,Taipei,Taiwan,2016-12-30,People counting base on head and shoulder information,25.0375198,121.5636796,1
Cechanowicz L.,University of Southern California,Los Angeles,United States,2016-12-01,World Building and the Future of Media: A Case Study-Makoko 2036,34.0536909,-118.242766,0
Dysli C.,University Hospital Bern,Bern,Switzerland,2016-12-01,Effect of pharmacologically induced retinal degeneration on retinal autofluorescence lifetimes in mice,46.9484742,7.4521749,2
Wu Y.,National University of Singapore,Singapore City,Singapore,2016-12-31,Fabrication of dentin-like scaffolds through combined 3D printing and bio-mineralisation,1.2899175,103.8519072,8
Lähdesmäki T.,University of Jyväskylä,Jyvaskyla,Finland,2016-12-01,Scholarly discussion as engineering the meanings of a European cultural heritage,62.2417066,25.7495727,2
Esparza J.,Technische Universität München,Munich,Germany,2016-12-01,Model checking population protocols,48.1371079,11.5753822,2
Elfaham H.,Rheinisch-Westfälische Technische Hochschule Aachen,Aachen,Germany,2016-12-21,A modular benchmark for evaluating load distribution algorithms,50.776351,6.083862,2
Eun H.,Korea Advanced Institute of Science and Technology,Daejeon,South Korea,2016-12-01,Superpixel-guided adaptive image smoothing,36.3497007,127.3849016,1
Martinez-Vazquez P.,University of Birmingham,Birmingham,United Kingdom,2016-12-01,Wind-induced vibrations of structures using design spectra,52.4796992,-1.9026911,2
Mahmudul H.M.,Universiti Malaysia Pahang Al-Sultan Abdullah,Pekan,Malaysia,2016-12-07,Experimental investigation of the impact of using alcohol- biodiesel-diesel blending fuel on combustion of single cylinder CI engine,3.4895509,103.390396,8
Biddle W.,Colorado State University,Fort Collins,United States,2016-12-01,Modification of orthogonal tRNAs: Unexpected consequences for sense codon reassignment,40.5871782,-105.0770113,0
Carvalho F.,Universidade Federal de Itajubá,Itajuba,Brazil,2016-12-14,Comparative analysis of instruments measuring time-varying harmonics,-22.4238234,-45.4524156,9
Sjögren P.,Mälardalen University,Vasteras,Sweden,2016-12-27,The planning and documentation problem of emergent changes,59.6110992,16.5463679,2
Talai S.,Tshwane University of Technology,Pretoria,South Africa,2016-12-01,Experimentally validated structural vibration frequencies' prediction from frictional temperature signatures using numerical simulation: A case of laced cantilever beam-like structures,-25.7459277,28.1879101,11
Quang-Huy T.,"Vietnam National University, Hanoi",Hanoi,Viet Nam,2016-12-01,Integration of compressed sensing and frequency hopping techniques for ultrasound tomography,21.0283334,105.854041,1
